Distance_(pixels),Gray_Value
0,34.2500
1,34.7500
2,34.0000
3,33.1250
4,30.7500
5,29.8750
6,30.2500
7,30.7500
8,31.3750
9,31.6250
10,32.6250
11,33.0000
12,33.0000
13,31.1250
14,30.5000
15,30.5000
16,30.8750
17,31.0000
18,31.8750
19,33.6250
20,34.1250
21,33.5000
22,32.3750
23,33.1250
24,32.8750
25,32.8750
26,32.8750
27,33.0000
28,33.5000
29,34.1250
30,34.1250
31,34.0000
32,33.3750
33,33.5000
34,33.7500
35,34.2500
36,35.1250
37,35.3750
38,34.5000
39,32.0000
40,29.2500
41,28.8750
42,30.1250
43,32.1250
44,35.3750
45,37.8750
46,39.3750
47,38.1250
48,35.2500
49,32.0000
50,30.7500
51,29.6250
52,29.8750
53,30.2500
54,30.8750
55,31.7500
56,32.2500
57,31.7500
58,33.0000
59,33.5000
60,33.7500
61,32.7500
62,30.7500
63,29.8750
64,30.2500
65,30.2500
66,31.3750
67,34.2500
68,36.3750
69,39.0000
70,40.0000
71,40.5000
72,40.6250
73,39.2500
74,37.2500
75,35.2500
76,33.3750
77,32.2500
78,32.2500
79,33.1250
80,34.6250
81,36.1250
82,38.3750
83,38.2500
84,36.2500
85,33.3750
86,31.1250
87,29.6250
88,29.6250
89,30.8750
90,32.8750
91,34.3750
92,35.2500
93,35.1250
94,35.7500
95,35.1250
96,34.7500
97,34.6250
98,35.7500
99,36.5000
100,36.7500
101,36.7500
102,36.5000
103,35.0000
104,34.1250
105,33.3750
106,33.7500
107,35.8750
108,37.3750
109,37.6250
110,37.5000
111,37.3750
112,35.7500
113,35.0000
114,33.8750
115,36.0000
116,38.0000
117,39.8750
118,39.3750
119,39.0000
120,36.3750
121,33.8750
122,31.2500
123,29.7500
124,29.5000
125,30.6250
126,31.1250
127,31.5000
128,32.1250
129,33.0000
130,34.0000
131,33.8750
132,33.3750
133,33.0000
134,32.2500
135,32.0000
136,31.1250
137,30.5000
138,31.0000
139,32.3750
140,33.8750
141,34.5000
142,35.7500
143,36.7500
144,38.3750
145,38.8750
146,37.6250
147,36.0000
148,34.8750
149,33.7500
150,32.5000
151,32.0000
152,33.0000
153,33.8750
154,34.2500
155,34.5000
156,34.7500
157,33.8750
158,32.8750
159,31.6250
160,32.3750
161,32.8750
162,33.8750
163,34.8750
164,36.8750
165,37.5000
166,37.7500
167,36.7500
168,35.3750
169,34.6250
170,34.2500
171,33.7500
172,34.0000
173,34.1250
174,33.7500
175,33.8750
176,33.3750
177,33.0000
178,31.8750
179,32.0000
180,32.1250
181,32.5000
182,32.5000
183,32.3750
184,31.3750
185,30.6250
186,30.5000
187,30.8750
188,32.5000
189,34.8750
190,37.3750
191,39.0000
192,38.3750
193,37.6250
194,36.2500
195,34.6250
196,33.2500
197,32.1250
198,31.0000
199,30.1250
200,30.8750
201,32.3750
202,34.2500
203,34.7500
204,36.0000
205,34.6250
206,34.2500
207,32.3750
208,32.0000
209,30.7500
210,31.6250
211,32.2500
212,32.5000
213,31.8750
214,32.6250
215,33.3750
216,35.0000
217,34.8750
218,35.7500
219,36.1250
220,36.8750
221,36.3750
222,36.6250
223,36.2500
224,36.8750
225,37.0000
226,37.6250
227,37.0000
228,37.1250
229,36.5000
230,34.8750
231,33.7500
232,33.2500
233,33.2500
234,34.1250
235,34.6250
236,36.1250
237,37.6250
238,37.6250
239,37.8750
240,37.5000
241,37.6250
242,36.8750
243,36.2500
244,35.7500
245,35.0000
246,34.5000
247,33.0000
248,33.0000
249,33.7500
250,35.2500
251,36.2500
252,38.3750
253,38.5000
254,38.5000
255,36.3750
256,33.6250
257,32.3750
258,31.8750
259,32.3750
260,34.8750
261,37.7500
262,39.0000
263,38.6250
264,36.6250
265,33.6250
266,31.1250
267,29.3750
268,28.1250
269,27.8750
270,29.1250
271,29.5000
272,30.0000
273,30.5000
274,30.5000
275,30.8750
276,31.3750
277,31.5000
278,32.5000
279,32.8750
280,33.3750
281,33.5000
282,33.7500
283,33.6250
284,34.2500
285,36.0000
286,38.6250
287,39.7500
288,40.7500
289,41.2500
290,40.1250
291,38.2500
292,36.2500
293,34.6250
294,34.0000
295,33.3750
296,34.0000
297,36.2500
298,37.2500
299,37.3750
300,35.7500
301,34.7500
302,33.3750
303,33.3750
304,32.5000
305,33.3750
306,34.0000
307,34.0000
308,33.5000
309,33.1250
310,33.8750
311,35.3750
312,37.7500
313,39.6250
314,41.2500
315,40.7500
316,39.3750
317,36.7500
318,35.0000
319,33.6250
320,33.5000
321,33.2500
322,33.3750
323,33.6250
324,34.6250
325,35.6250
326,36.6250
327,35.8750
328,34.2500
329,32.8750
330,31.7500
331,32.0000
332,33.7500
333,37.5000
334,39.6250
335,40.6250
336,40.0000
337,39.0000
338,37.3750
339,36.1250
340,34.0000
341,33.6250
342,31.6250
343,31.0000
344,30.5000
345,30.8750
346,31.0000
347,32.6250
348,33.2500
349,33.5000
350,32.8750
351,32.0000
352,31.2500
353,31.1250
354,30.8750
355,31.8750
356,32.8750
357,35.3750
358,37.2500
359,38.8750
360,39.8750
361,40.2500
362,38.8750
363,37.2500
364,35.3750
365,33.8750
366,32.7500
367,32.0000
368,31.8750
369,32.6250
370,33.6250
371,34.5000
372,34.2500
373,34.1250
374,34.0000
375,33.2500
376,32.0000
377,33.3750
378,34.6250
379,36.0000
380,36.1250
381,36.6250
382,36.5000
383,35.5000
384,34.6250
385,35.1250
386,36.3750
387,37.5000
388,39.0000
389,38.8750
390,37.0000
391,34.5000
392,33.0000
393,31.8750
394,30.7500
395,30.8750
396,31.8750
397,33.8750
398,34.5000
399,34.0000
400,32.8750
401,31.8750
402,31.1250
403,31.7500
404,32.6250
405,34.1250
406,35.8750
407,36.0000
408,35.5000
409,34.3750
410,33.7500
411,32.7500
412,31.5000
413,30.8750
414,30.6250
415,30.6250
416,30.2500
417,30.6250
418,31.2500
419,32.6250
420,33.7500
421,34.3750
422,34.6250
423,34.8750
424,33.7500
425,33.2500
426,33.6250
427,34.1250
428,35.1250
429,35.5000
430,35.6250
431,35.7500
432,35.7500
433,35.3750
434,35.7500
435,36.0000
436,36.0000
437,36.6250
438,36.3750
439,36.1250
440,35.5000
441,35.8750
442,36.1250
443,36.3750
444,36.0000
445,36.0000
446,34.7500
447,34.3750
448,33.8750
449,33.8750
450,34.0000
451,34.7500
452,34.0000
453,33.8750
454,32.8750
455,33.8750
456,34.6250
457,36.6250
458,37.1250
459,37.8750
460,36.5000
461,36.0000
462,34.1250
463,33.6250
464,33.0000
465,33.2500
466,33.5000
467,33.6250
468,32.3750
469,32.3750
470,32.8750
471,32.8750
472,32.5000
473,31.8750
474,32.1250
475,33.3750
476,35.3750
477,37.6250
478,41.1250
479,42.3750
480,41.0000
481,37.8750
482,35.6250
483,34.2500
484,33.7500
485,33.2500
486,34.0000
487,34.5000
488,34.3750
489,33.8750
490,33.6250
491,34.0000
492,33.5000
493,32.0000
494,30.2500
495,27.6250
496,25.8750
497,25.1250
498,26.5000
499,28.1250
500,30.8750
501,33.0000
502,34.5000
503,36.1250
504,37.2500
505,37.8750
506,37.8750
507,37.2500
508,36.8750
509,36.0000
510,34.5000
511,34.6250
512,33.8750
513,34.1250
